,0,1,2,3,4,5,6,7,8,9,10
0,0.0,30.902,58.779,80.902,95.106,100.0,95.106,80.902,58.779,30.902,0.0
1,0.0,29.389,55.902,76.942,90.451,95.106,90.451,76.942,55.902,29.389,0.0
2,0.0,27.951,53.166,73.176,86.024,90.451,86.024,73.176,53.166,27.951,0.0
3,0.0,26.583,50.564,69.595,81.814,86.024,81.814,69.595,50.564,26.583,0.0
4,0.0,25.282,48.089,66.189,77.809,81.814,77.809,66.189,48.089,25.282,0.0
5,0.0,24.044,45.735,62.949,74.001,77.809,74.001,62.949,45.735,24.044,0.0
6,0.0,22.868,43.497,59.868,70.379,74.001,70.379,59.868,43.497,22.868,0.0
7,0.0,21.748,41.368,56.938,66.935,70.379,66.935,56.938,41.368,21.748,0.0
8,0.0,20.684,39.343,54.151,63.659,66.935,63.659,54.151,39.343,20.684,0.0
9,0.0,19.672,37.418,51.501,60.543,63.659,60.543,51.501,37.418,19.672,0.0
10,0.0,18.709,35.586,48.98,57.58,60.543,57.58,48.98,35.586,18.709,0.0
11,0.0,17.793,33.845,46.583,54.762,57.58,54.762,46.583,33.845,17.793,0.0
12,0.0,16.922,32.188,44.303,52.081,54.762,52.081,44.303,32.188,16.922,0.0
13,0.0,16.094,30.613,42.135,49.532,52.081,49.532,42.135,30.613,16.094,0.0
14,0.0,15.306,29.114,40.072,47.108,49.532,47.108,40.072,29.114,15.306,0.0
15,0.0,14.557,27.689,38.111,44.802,47.108,44.802,38.111,27.689,14.557,0.0
16,0.0,13.845,26.334,36.246,42.61,44.802,42.61,36.246,26.334,13.845,0.0
17,0.0,13.167,25.045,34.472,40.524,42.61,40.524,34.472,25.045,13.167,0.0
18,0.0,12.523,23.819,32.785,38.541,40.524,38.541,32.785,23.819,12.523,0.0
19,0.0,11.91,22.654,31.18,36.654,38.541,36.654,31.18,22.654,11.91,0.0
20,0.0,11.327,21.545,29.654,34.86,36.654,34.86,29.654,21.545,11.327,0.0
21,0.0,10.772,20.49,28.203,33.154,34.86,33.154,28.203,20.49,10.772,0.0
22,0.0,10.245,19.488,26.822,31.532,33.154,31.532,26.822,19.488,10.245,0.0
23,0.0,9.744,18.534,25.51,29.988,31.532,29.988,25.51,18.534,9.744,0.0
24,0.0,9.267,17.627,24.261,28.521,29.988,28.521,24.261,17.627,9.267,0.0
